GO Categories,Gene Symbol,Normals_NB.MYCN.A_logFC_mean,Normals_NB.MYCN.NA_logFC_mean,Normals_NB.Unknown_logFC_mean,Normals_NB.MYCN.A_PValue_mean,Normals_NB.MYCN.NA_PValue_mean,Normals_NB.Unknown_PValue_mean,Normals_NB.MYCN.A_FDR_mean,Normals_NB.MYCN.NA_FDR_mean,Normals_NB.Unknown_FDR_mean
GO:0034687:integrin alphaL-beta2 complex,"ITGAL, ITGB2",-0.992130307,-0.056706357,0.083556635,0.159461377,0.001427849,0.119645422,0.278667799,0.003743822,0.31755631
GO:0034688:integrin alphaM-beta2 complex,"ITGAM, ITGB2",-0.77550008,0.271107593,0.469063647,0.159472604,0.128997112,0.387090295,0.278709243,0.218165487,0.558516287
GO:0034689:integrin alphaX-beta2 complex,"ITGAX, ITGB2",-0.732142249,0.58178793,0.39544499,0.160183668,0.101145933,0.347839563,0.280951533,0.177124053,0.558516287
GO:0034695:response to prostaglandin E,"A2M, CCR7, SCN11A, TGFBR3",-1.686532069,-1.321386009,-1.810960896,0.106383269,0.005718754,0.128077901,0.176032842,0.012479277,0.245603153
GO:0034698:response to gonadotropin,"ITGA3, MAS1",-2.678556623,-1.442531447,-1.397523008,0.000142891,0.109396973,0.281902729,0.000541969,0.188195033,0.63220643
GO:0034699:response to luteinizing hormone,"NPR2, TGFBR3",-1.89216254,-1.362873199,-1.413313271,0.004357604,6.20E-08,0.43468567,0.011991742,2.61E-07,0.500005778
GO:0034702:monoatomic ion channel complex,"CYBB, GPR89A, HVCN1, KCNE4, KCNH3, KCNH6, KCNH7, KCNH8, KCNJ1, KCNJ10, KCNJ12, KCNJ13, KCNJ15, KCNJ9, KCNK10, KCNK12, KCNK13, KCNK17, KCNK5, KCNK7, KCNQ1, KCNU1, LRRC8A, LRRC8B, LRRC8C, LRRC8D, LRRC8E, NALCN, NOX1, TMEM109, TPCN1, TPCN2, TRPM5",-1.006776635,-0.837594949,-0.656796356,0.203960223,0.079730519,0.134926871,0.310509653,0.11518957,0.286579292
GO:0034703:cation channel complex,"PKD1, PKD2, TRPC1, TRPC3, TRPC4, TRPC5, TRPC6, TRPC7, UNC80",-0.507811633,-0.323127777,-0.246512603,0.093145278,0.076682697,0.222950319,0.159450802,0.123112223,0.434154422
GO:0034704:calcium channel complex,"ATP2A1, CALM3, MCU, ORAI1, PDE4D, PKD1, PKD1L1, PKD2L1, RYR1, RYR2, RYR3, TRPC4, TRPC5, TRPV6",-2.327854428,-1.891690739,-2.036636288,0.035590529,0.058988728,0.136241319,0.060793918,0.07626739,0.207308582
GO:0034705:potassium channel complex,"KCNA5, KCNA6, KCNK1, KCNK4",-0.880739049,-1.171111664,-0.193391007,0.20713486,0.052753088,0.015010247,0.251224875,0.094443902,0.060091337
GO:0034706:sodium channel complex,"SCNN1A, SCNN1B, SCNN1D, SCNN1G, TRPM4",-4.927269027,-5.063150407,-0.781916017,0.076404726,0.000225234,0.503942344,0.123154238,0.000605513,0.797122727
GO:0034707:chloride channel complex,"ANO1, ANO2, ANO6, BEST1, BEST2, BEST3, CFTR, CLCC1, CLCN1, CLCN2, CLCN7, CLCNKA, CLCNKB, CLDN17, CLDN4, CLIC4, GABRA1, GABRA2, GABRA3, GABRA4, GABRA5, GABRA6, GABRB1, GABRB2, GABRB3, GABRD, GABRE, GABRG1, GABRG2, GABRG3, GABRP, GABRQ, GABRR1, GABRR2, GABRR3, GLRA1, GLRA2, MFSD8, OSTM1, SLC17A6, SLC17A7, SLC17A8, SLC26A6, TTYH1, TTYH2, TTYH3",-1.532571135,-1.612961051,-1.182297011,0.092171559,0.078328652,0.213087116,0.140176759,0.122343491,0.352608475
GO:0034709:methylosome,FUT6,-4.479928114,-5.800750939,-6.375261398,9.53E-06,3.35E-25,0.012499125,4.43E-05,5.06E-24,0.05860068
GO:0034711:inhibin binding,"ACVR1B, ACVR2A, IGSF1, INHA",-0.012970616,0.730484473,0.498578347,0.030528841,0.008650784,0.016675021,0.065582533,0.018205986,0.055016723
GO:0034713:type I transforming growth factor beta receptor binding,"ENG, FERMT2, SMAD2, SMAD6, SMAD7, TGFB1, TGFBR2",-0.945839632,-0.923924346,-0.700415976,0.121031234,0.042769621,0.058971855,0.204735071,0.073919262,0.163370115
GO:0034714:type III transforming growth factor beta receptor binding,TGFB1,0.199137215,0.247707798,0.493323319,0.499059326,0.213511157,0.182735403,0.792811774,0.368605143,0.468907367
GO:0034727:piecemeal microautophagy of the nucleus,"ATG9A, ATG9B",1.307049256,1.31720622,1.098049092,0.177619854,0.061041284,0.166213948,0.304633972,0.112637073,0.361342924
GO:0034736:cholesterol O-acyltransferase activity,"SOAT1, SOAT2",-2.245920344,-1.633210893,-2.044428996,6.82E-08,1.11E-09,0.009708977,4.31E-07,5.47E-09,0.047905747
GO:0034750:Scrib-APC-beta-catenin complex,CTNNB1,-0.014848103,-0.511456135,-0.293120519,0.910801193,6.35E-08,0.101422188,1,2.74E-07,0.302476857
GO:0034751:aryl hydrocarbon receptor complex,"AHR, AHRR, ARNT, ARNT2, HSP90AB1",-0.642278396,-0.434358532,-0.169462164,0.038415124,0.018378625,0.090735001,0.073194697,0.035140069,0.264528939
GO:0034752:cytosolic aryl hydrocarbon receptor complex,AHR,-2.245082824,-1.13308245,-0.825438643,1.08E-12,4.60E-05,0.12775558,1.27E-11,0.000149231,0.356711488
GO:0034753:nuclear aryl hydrocarbon receptor complex,"AHR, ARNT",-1.370435893,-0.74334567,-0.552520325,1.71E-07,2.31E-05,0.136929777,9.84E-07,7.51E-05,0.37639825
GO:0034755:iron ion transmembrane transport,"MCOLN1, SCARA5, SLC11A1, SLC11A2, SLC39A14, SLC40A1, TTYH1",-2.051969885,-1.470136035,-1.24542115,2.94E-05,0.022834521,0.08483929,0.000116295,0.0396042,0.2289358
GO:0034756:regulation of iron ion transport,"B2M, HFE, TF",-2.598658204,-2.681426585,-3.142401883,4.04E-06,1.20E-09,0.002044514,1.82E-05,5.74E-09,0.010559099
GO:0034760:negative regulation of iron ion transmembrane transport,ATP7A,0.116574739,0.192490012,0.977824042,0.521335626,0.125431297,0.000218523,0.822111849,0.2308729,0.002141191
GO:0034765:regulation of monoatomic ion transmembrane transport,"ASIC2, KCNJ1, KCNJ10, KCNJ11, KCNJ12, KCNJ13, KCNJ14, KCNJ15, KCNJ16, KCNJ2, KCNJ3, KCNJ4, KCNJ5, KCNJ6, KCNJ8, KCNJ9, STOM",-2.795386296,-2.668676973,-2.381636656,0.027505156,0.006353792,0.145001887,0.04790469,0.012294042,0.274402241
GO:0034766:negative regulation of monoatomic ion transmembrane transport,SLC26A5,-2.633570825,-1.941873016,-2.184426444,1.15E-08,1.64E-10,0.011874546,8.16E-08,8.87E-10,0.056364176
GO:0034767:positive regulation of monoatomic ion transmembrane transport,"ANO6, P2RX7",-0.589427197,-0.159686779,-0.013745825,0.065109656,0.362634415,0.378541609,0.131585678,0.579961461,0.791986596
GO:0034769:basement membrane disassembly,HPN,-3.773389934,-4.695934721,-6.944313285,4.70E-08,9.46E-29,4.60E-07,3.07E-07,1.77E-27,1.12E-05
GO:0034774:secretory granule lumen,"A1BG, C3, CTSH, FCN1, GDI2, GPI, HSP90AB1, HUWE1, NFKB1, PAFAH1B2, PKM, S100A9, TF",-0.968628813,-1.224333069,-1.066051576,0.078946673,0.152904663,0.254831469,0.092978143,0.172552374,0.370090381
GO:0034775:glutathione transmembrane transport,"ABCC1, ABCC4, ABCC5, GJA1, SLC13A3, SLC7A11",-0.962046137,-1.621981598,-1.384145382,0.001964314,0.146496152,0.261770982,0.005255604,0.166667788,0.501079141
GO:0034776:response to histamine,"DRD2, DRD3, DRD4",1.998528292,2.601329528,2.556088482,0.333333333,0.183037373,0.196981425,0.333333333,0.271042465,0.333333377
GO:0034875:caffeine oxidase activity,"CYP1A2, CYP3A4",-2.301197052,-7.601149322,-8.971604648,0.158188463,3.71E-19,0.009405001,0.297023576,3.65E-18,0.042887802
GO:0034899:trimethylamine monooxygenase activity,FMO3,-3.27768736,-4.044501886,-4.511114715,7.60E-06,3.36E-31,0.001339625,3.60E-05,7.22E-30,0.009562894
GO:0034959:endothelin maturation,ECE1,-1.031994519,-0.446326966,-0.761469455,8.11E-06,0.000872826,0.046752842,3.81E-05,0.002406096,0.165254216
GO:0034975:protein folding in endoplasmic reticulum,"CALR, CANX, DNAJC10, HSPA5, P4HB, VAPA",-0.349476392,-0.332768775,-0.110173658,0.228441937,0.03098703,0.490990385,0.314164374,0.056946088,0.807679645
GO:0034976:response to endoplasmic reticulum stress,"ATF3, ATF4, ATF6, ATF6B, ATP2A1, ATP2A2, BCAP31, CEBPB, CFTR, CREB3L1, CREB3L2, CREB3L3, DDIT3, DNAJC10, EIF2AK3, ERN1, ERP44, FICD, HERPUD1, HSPA5, JUN, KCNJ8, MARCKS, MBTPS2, NOD1, P4HB, PDIA4, RNF183, SCAMP5, SRPX, THBS1, THBS4, TMEM258, TMEM259, TMEM33, TMTC3, TNFRSF10B, UBA5, USP19, WFS1, XBP1",-0.898091557,-0.864842319,-0.729444015,0.135366116,0.099800958,0.217427916,0.200281965,0.139835158,0.376705165
GO:0034982:mitochondrial protein processing,"AFG3L2, SPG7, YME1L1",-0.39769733,-0.430726256,-0.439586891,0.006343686,0.012296282,0.114571196,0.016157793,0.025740365,0.32148157
GO:0034986:iron chaperone activity,TF,-3.305350501,-5.039184799,-7.463330074,1.62E-05,1.12E-33,4.18E-05,7.26E-05,2.78E-32,0.000530969
GO:0034987:immunoglobulin receptor binding,"CLEC4D, CR2, FES, IGHG1",-0.996330439,-0.852824462,-1.207951328,0.030747642,0.014162796,0.082479429,0.066501251,0.029173517,0.224492234
GO:0034988:Fc-gamma receptor I complex binding,"FLNA, IGHG1",-0.557824782,-0.507896272,-0.547394815,0.05386354,0.001994922,0.011493563,0.111848219,0.004994066,0.048128688
GO:0034993:meiotic nuclear membrane microtubule tethering complex,"CLMN, SPAG4, SUN1, SYNE1, SYNE2, SYNE3, SYNE4",-0.887207923,-0.636481903,-0.700495467,0.118267058,0.153803818,0.35241799,0.198044731,0.242821716,0.482228047
GO:0034998:oligosaccharyltransferase I complex,"STT3B, TMEM258",-0.114435733,-0.516256889,-0.365392603,0.000204939,0.240795657,0.312503536,0.00072933,0.365429408,0.501799469
GO:0035000:oligosaccharyltransferase III complex,STT3A,0.087189976,-0.571935567,-0.08461023,0.508882489,7.26E-10,0.739439358,0.805952944,3.72E-09,1
GO:0035003:subapical complex,"CRB1, CRB3",-1.749436048,-2.967495729,-0.703679685,0.188896824,0.003323624,0.416097378,0.317913714,0.008022179,0.661472617
GO:0035005:1-phosphatidylinositol-4-phosphate 3-kinase activity,"PIK3C2G, PIK3CA, PIK3CB, PIK3CD",-2.081534526,-2.475433785,-2.748666601,0.031982412,1.23E-05,0.270335861,0.064838631,4.01E-05,0.400078996
GO:0035014:phosphatidylinositol 3-kinase regulator activity,WDR81,0.283213805,0.28029748,0.561707077,0.035732455,0.002659478,0.008026791,0.084822567,0.006843548,0.041222673
GO:0035019:somatic stem cell population maintenance,"BMPR1A, BRAF, CDX2, GATA2, HES1, KIT, KLF10, KLF4, LRP5, NANOG, NR2E1, POU5F1, RBPJ, REST, SALL4, SFRP1, SOX2, SOX4, SOX9, STAT3, TBX1, ZHX2",-1.218233724,-1.121058554,-1.044722442,0.081384951,0.08881975,0.11601903,0.115774489,0.102504229,0.249105174
GO:0035020:regulation of Rac protein signal transduction,"CADM4, OGT",0.172690215,0.432562767,0.373942384,0.420399352,0.000580967,0.009001041,0.674828675,0.001544971,0.043213414
GO:0035021:negative regulation of Rac protein signal transduction,NF1,0.113701507,0.053717505,0.309629362,0.338622583,0.56518347,0.115585487,0.584799411,0.831275782,0.334087343
GO:0035022:positive regulation of Rac protein signal transduction,"LRP4, PIK3CB, TEK",-2.248300336,-2.340020787,-1.973836493,3.87E-14,2.74E-34,8.26E-06,5.18E-13,6.84E-33,0.000124449
GO:0035023:regulation of Rho protein signal transduction,"BCR, CDC42SE1",0.230441438,0.22530288,0.367058885,0.007439849,0.110431189,0.188408484,0.019385461,0.189696921,0.396167212
GO:0035024:negative regulation of Rho protein signal transduction,"BCL6, HEG1, ITGA3, ITGB1, MET",-1.492686777,-1.079062462,-0.986816587,1.55E-05,0.043758785,0.116001715,6.55E-05,0.075277996,0.274885255
GO:0035025:positive regulation of Rho protein signal transduction,"ERBB2, F11R, F2R, F2RL1, F2RL2, F2RL3, GPR17, GPR174, GPR18, GPR20, GPR35, GPR4, GPR55, GPR65, LPAR1, LPAR2, LPAR4, LPAR6, P2RY10, PLXNB1, ROBO1, RTN4R, SEMA4D, TEK",-0.866330612,-0.655988183,-0.645254814,0.133851964,0.160067327,0.235561481,0.206448032,0.193529426,0.408999135
GO:0035033:histone deacetylase regulator activity,"HOPX, TP53",-0.868427662,-1.417392947,-1.500047877,3.78E-18,0.208776683,0.086859087,8.34E-17,0.324173601,0.22533655
GO:0035035:histone acetyltransferase binding,"CEBPB, EGR1, FOXP3, GLI3, MEF2A, MTF1, PAX6, SP1, STAT1, ZBTB7A",-1.060337822,-0.675000106,-0.676001336,0.043582704,0.114116775,0.169598559,0.082771902,0.157596301,0.313249783
GO:0035036:sperm-egg recognition,"CD9, DCST1, FOLR1, IZUMO1, SPACA3",-2.906017772,-2.569850001,-2.702595781,0.094588136,0.147142221,0.161789894,0.146229566,0.166666735,0.298350118
GO:0035050:embryonic heart tube development,"CTNNB1, ECE1, EDNRA, FOXC1, FOXC2, HAND1, NDRG4, PLXNA4, SOX17, SOX18, TBX2",0.451947509,0.405622551,0.227251954,0.196570297,0.10538113,0.208081625,0.279882905,0.154360714,0.336145471
GO:0035051:cardiocyte differentiation,BMP2,-1.989688068,-1.743393858,-1.60170581,1.06E-08,1.71E-12,0.001808835,7.58E-08,1.08E-11,0.012256612
GO:0035054:embryonic heart tube anterior/posterior pattern specification,"BMP2, FOXH1, GATA4",-1.456213199,-1.696359383,-1.697527101,0.001059368,7.60E-06,0.003831292,0.003190419,2.55E-05,0.022108014
GO:0035064:methylated histone binding,THAP7,-0.147336139,-0.004785138,0.252925874,0.207566392,0.947256155,0.182726179,0.391035311,1,0.468907367
GO:0035082:axoneme assembly,FOXJ1,0.217487477,1.132056279,0.492869004,0.535873501,0.000226826,0.396437539,0.837788663,0.000675031,0.818271376
GO:0035088:establishment or maintenance of apical/basal cell polarity,CLIC4,-1.803108161,-1.398329217,-1.292648703,3.45E-15,5.91E-17,0.002413273,5.48E-14,5.12E-16,0.015578179
GO:0035089:establishment of apical/basal cell polarity,FOXJ1,0.217487477,1.132056279,0.492869004,0.535873501,0.000226826,0.396437539,0.837788663,0.000675031,0.818271376
GO:0035091:phosphatidylinositol binding,"C2CD2L, ESYT1, ESYT2, ESYT3, FES, ITPR1, ITPR2, ITPR3, NISCH, PIK3C2G, SLC9A3, SNX13, SNX14, SNX19, SNX9, TRPV1",-1.104585533,-1.146429544,-0.991142652,0.021263802,0.06219032,0.104411226,0.039371784,0.0892354,0.201715879
GO:0035092:sperm DNA condensation,"BRDT, PRM1, SYCP1, TSSK6",-1.29470822,-2.182706189,-0.334004906,0.175005268,0.003676648,0.12186711,0.284973166,0.008493482,0.285210074
GO:0035094:response to nicotine,"ATP1A2, BCL2, CHRNA1, CHRNA2, CHRNA3, CHRNA4, CHRNA5, CHRNA6, CHRNA7, CHRNB2, CHRNB3, CNR1, DRD2, GABBR1, GNAT3, HMOX1, IGF1R, IL13, KCNK1, LYPD1, MMP2, OPRD1, OPRK1, PDX1, SLC6A3, SLC7A11, TACR1, VCAM1",-0.372341424,-0.105660265,-0.120428944,0.060518486,0.028548259,0.142157505,0.103959258,0.041396691,0.278884028
GO:0035095:behavioral response to nicotine,"CHRNA3, CHRNA4, CHRNA5, CHRNB1, CHRNB2, CHRNB4, GRM2, PPARA",0.835310621,1.253945583,1.382349372,8.29E-06,2.40E-08,0.008802518,3.53E-05,1.00E-07,0.035418625
GO:0035097:histone methyltransferase complex,"HCFC1, KMT2A, ZNF335",0.659425664,0.250432546,0.319578985,0.174014619,0.531063367,0.305402005,0.250017544,0.559045692,0.625519724
GO:0035101:FACT complex,TONSL,3.216200382,2.493758971,1.686385531,2.27E-64,2.01E-31,9.78E-11,2.70E-61,4.39E-30,5.70E-09
GO:0035106:operant conditioning,"DRD1, TACR1, TACR2",-4.534839351,-4.017248662,-3.653009759,2.38E-15,3.20E-17,0.006599646,3.64E-14,2.73E-16,0.028334577
GO:0035108:limb morphogenesis,"ASPH, BAK1, EVX2, GLI3, MEGF8, NFIA, NPR2, PCSK5, PTCH1, TBX4, ZIC3, ZNF141",-0.497235017,-0.851316833,-1.377724633,0.148655319,0.02810676,0.225928783,0.173352992,0.049040149,0.348201542
GO:0035112:genitalia morphogenesis,"CTNNB1, NEUROG1, NPR2",0.650862639,0.366084928,0.080321607,0.329964074,0.037846904,0.473257548,0.392648018,0.070366018,0.719733404
GO:0035115:embryonic forelimb morphogenesis,"ALX3, ALX4, CACNA1C, CTNNB1, EN1, HOXA11, HOXA13, HOXA9, HOXD9, MSX1, MSX2, OSR1, OSR2, RDH10, RECK, RUNX2, SHH, SHOX2, TBX3, TBX5, TFAP2A, TP63, TWIST1, ZNF358",-1.260320659,-1.517461325,-1.07932837,0.07358708,0.026757679,0.169539837,0.105101601,0.045939892,0.307307915
GO:0035116:embryonic hindlimb morphogenesis,"ALX3, ALX4, CTNNB1, GPC3, MSX1, MSX2, NOTCH1, OSR1, OSR2, PITX1, RARB, RARG, SHH, TBX3, TBX4, TP63, TWIST1, ZBTB16",-1.379107661,-1.565966292,-1.198341536,0.053503995,5.18E-06,0.093728475,0.062894021,1.69E-05,0.21008271
GO:0035136:forelimb morphogenesis,"HOXD10, TBX3, TBX5, TFAP2B, ZBTB16",-0.292610783,-1.198001659,-0.213842604,0.000202231,0.033638558,0.128124703,0.00071874,0.059825362,0.284453961
GO:0035137:hindlimb morphogenesis,"BMPR1A, HOXD10, HOXD9, PTCH1, TFAP2B",1.898533758,1.105658803,1.413396873,0.180041935,0.036249692,0.251059766,0.200302865,0.065813212,0.397666522
GO:0035148:tube formation,"ATOH8, NOTCH1",-1.387618358,-1.500052563,-1.35944762,0.008033889,3.38E-05,0.016312241,0.020783622,0.000107279,0.064175396
GO:0035162:embryonic hemopoiesis,"ATF4, FLT3LG, GATA3, HIF1A, KDR, KIT, KITLG, KMT2A, PBX1, TAL1, TGFBR2, TPO, ZFPM1",-0.515076648,-0.646838889,-0.629737824,0.055108778,0.077821249,0.116248071,0.101663001,0.079568092,0.219820764
GO:0035166:post-embryonic hemopoiesis,KLF4,-1.668227386,-1.195193599,-1.474548067,0.000165137,0.000753086,0.025556971,0.000628429,0.002094542,0.103317805
GO:0035176:social behavior,"AVPR1A, CHRNB2, CIC, CLN8, CNTNAP2, DLG4, DRD3, DRD4, EN1, EXT1, GRID1, GRPR, KCNQ1, NLGN2, NLGN3, NLGN4X, NLGN4Y, NPAS4, NR2E1, NRXN1, NRXN2, NRXN3, OXTR, PTCHD1, SLC6A4, TBX1, TREM2, VPS13A",-0.019689164,0.045443236,-0.045834206,0.149861664,0.091209332,0.112822522,0.218774054,0.128959097,0.195804069
GO:0035189:Rb-E2F complex,"E2F1, E2F2, TFDP1",2.98021086,2.594087278,2.563080638,0.000526051,0.162348681,0.001530921,0.001681921,0.245923925,0.008773672
GO:0035195:miRNA-mediated post-transcriptional gene silencing,CNOT1,0.38858482,-0.039099447,0.52315122,7.63E-05,0.598458232,0.002685792,0.000306846,0.870528689,0.016957735
GO:0035197:siRNA binding,TLR7,-0.326586046,0.719517968,1.336967755,0.345251319,0.003937415,0.002168555,0.594752341,0.009867068,0.014255872
GO:0035198:miRNA binding,"POU5F1, SOX2, SOX4, YBX1",-0.407651086,0.202386194,0.719902787,0.012651624,0.193890805,0.177820157,0.028851557,0.254452945,0.382738874
GO:0035234:ectopic germ cell programmed cell death,"BAX, BCL2L1, KIT, KITLG, MAEL, UNC5C, YBX3",-0.447743806,-0.517552682,0.022870219,0.11153173,0.005901547,0.045543011,0.186867018,0.012395579,0.118770228
GO:0035235:ionotropic glutamate receptor signaling pathway,"APP, CDK5R1, CLN3, GRIA1, GRIA2, GRIA3, GRIA4, GRIK1, GRIK2, GRIK3, GRIK4, GRIK5, GRIN1, GRIN2A, GRIN2B, GRIN2C, GRIN2D, GRIN3A, PTK2B",-0.238549152,-0.145835427,-0.251690124,0.112190625,0.064109241,0.21973727,0.145555722,0.101939854,0.374725714
GO:0035239:tube morphogenesis,GATA6,-1.424607603,-0.930685292,-2.175792882,0.000748438,0.000808901,0.004039691,0.002543577,0.002239171,0.023733878
GO:0035240:dopamine binding,"DRD1, DRD2, DRD4, DRD5, GPR143, SLC6A3",0.147756861,0.653073801,-0.23840936,0.062984668,0.072098996,0.012464948,0.107794467,0.108600208,0.046895425
"GO:0035248:alpha-1,4-N-acetylgalactosaminyltransferase activity",EXTL2,0.186192306,0.194331502,0.752856844,0.234813394,0.099037772,0.000919189,0.430293153,0.187083274,0.006995894
"GO:0035249:synaptic transmission, glutamatergic","ADORA2A, CACNB4, CLCN3, CLSTN3, DRD1, EXT1, GRIA1, GRIA2, GRIA3, GRIA4, GRID1, GRID2, GRIK1, GRIK2, GRIK3, GRIK4, GRIK5, GRIN2A, GRIN2B, GRIN2C, GRIN2D, GRIN3A, NR3C1, P2RX1, SLC17A6, SLC17A7, SLC17A8, SLC1A4, TNR",-0.760253884,-0.56278432,-0.478784332,0.138001567,0.103739086,0.170495614,0.195658258,0.147387052,0.292760294
GO:0035250:UDP-galactosyltransferase activity,"B3GALT6, B4GALT1",-0.754903621,-0.596027735,-0.477923258,1.14E-10,3.24E-20,7.59E-05,1.03E-09,3.47E-19,0.000831003
GO:0035252:UDP-xylosyltransferase activity,"GXYLT1, XXYLT1",0.139855171,0.152437455,0.690654593,0.000151155,0.003919023,0.145380341,0.000561784,0.00954406,0.35579052
GO:0035253:ciliary rootlet,"APP, PSEN1, RAB28",-0.460074083,-0.395498243,0.006293249,0.044821623,0.283018624,0.237692399,0.090108068,0.333356779,0.346934814
GO:0035254:glutamate receptor binding,"ATP2B2, GRIA1, PTK2B, PTPN4, SYNDIG1",-1.046080818,-1.145697667,-0.950460682,0.184136166,0.10571256,0.235993491,0.214253915,0.157686799,0.414559997
GO:0035255:ionotropic glutamate receptor binding,"CACNG2, CACNG3, CACNG4, CDK5R1, DLG3, DLG4, DRD2, GNAS, IGSF11, NSG1",1.068237741,1.572141644,1.735273195,0.094455124,0.014080903,0.190418826,0.164218628,0.026053157,0.331140089
GO:0035259:nuclear glucocorticoid receptor binding,"ETS2, FLT3, NR4A1, NR4A2, NR4A3, SMAD3, STAT5B",-1.895203864,-1.477010297,-1.605920018,0.070209456,0.011996724,0.095841336,0.111801624,0.024863331,0.231597643
GO:0035262:gonad morphogenesis,LHX9,4.354367373,3.851907084,5.646966412,1.77E-08,2.65E-05,2.04E-08,1.23E-07,8.81E-05,7.04E-07
GO:0035264:multicellular organism growth,"AR, ARID5B, ATF5, CLIC4, COMT, EN1, EXT1, FKBP8, FLVCR1, FOSL2, GRHL2, HEG1, HELT, HESX1, HOXA5, IHH, KLF2, NOTCH2, NPR2, PLAG1, PPP1R13L, RARA, RARB, RARG, RC3H2, SCNN1B, SLC12A5, SLC1A2, SLC4A10, SLITRK1, SLITRK6, SMO, SMPD3, TAL2, TMED2, TP53, ZFX, ZMPSTE24",-1.107542689,-1.256917064,-1.059387046,0.035024036,0.054000685,0.144759015,0.062474396,0.075491785,0.270507047
GO:0035265:organ growth,"ACVR2B, ARX, BCL2, CACNA2D2, CLDN18, DLL1, FGFR2, HLX, IER3IP1, NLGN4X, SMAD2",-0.340008942,-0.686208518,-0.547255646,0.115109533,0.007685852,0.226100924,0.179925977,0.015628815,0.341342673
GO:0035267:NuA4 histone acetyltransferase complex,POTEE,3.208002349,3.55775271,3.044833421,0.008084064,0.001755524,0.036133305,0.0224337,0.004643626,0.135580115
GO:0035268:protein mannosylation,DPM3,-0.798661784,-0.683817167,-0.194878982,1.04E-06,2.40E-07,0.531457242,5.58E-06,9.86E-07,0.960470142
GO:0035269:protein O-linked mannosylation,"DPM3, FKRP, FKTN, POMGNT1, POMT1, POMT2, TMEM260, TMTC1, TMTC2, TMTC3, TMTC4",0.076636491,0.118539286,0.202363497,0.230344539,0.180086456,0.360924159,0.357134061,0.245940242,0.593824444
GO:0035283:central nervous system segmentation,ZIC3,0.313933112,-2.391534053,-6.165319697,0.852945109,0.049278995,0.054347112,1,0.100450912,0.185843133
GO:0035284:brain segmentation,"EGR2, HOXA2, MAFB",-0.908797259,-0.534235842,-0.515801689,0.310843989,0.243924638,0.345879539,0.339510759,0.389244062,0.520289247
GO:0035295:tube development,"GLI2, ITGB3",-0.23402213,-1.216250344,-0.768812048,0.026228876,5.31E-07,0.293185419,0.060108379,2.04E-06,0.548644963
GO:0035305:negative regulation of dephosphorylation,IQGAP1,-1.690799065,-1.543748735,-1.356745058,1.05E-14,3.81E-37,0.000262598,1.57E-13,1.14E-35,0.002489946
GO:0035306:positive regulation of dephosphorylation,SRC,0.602748438,0.45257615,0.46940406,0.002737547,0.000791892,0.181839386,0.008350081,0.00219503,0.467080922
GO:0035307:positive regulation of protein dephosphorylation,"ADORA1, CALM3, CDH5, CNEP1R1, LILRB2, SMPD1, SPPL3, TGFB1",-0.649434533,-0.465420284,-0.259883722,0.075813565,0.191529776,0.334146266,0.127967343,0.266068201,0.51158853
"GO:0035313:wound healing, spreading of epidermal cells","ACVRL1, ADAM17, COL5A1, HBEGF, ITGA5, ITGAV, ITGB1, ITGB3, ITGB5, MMP12, MSX2",-0.460168877,-1.074469346,-0.637159719,0.004284531,0.063801907,0.134141601,0.011078375,0.090096023,0.210575423
GO:0035315:hair cell differentiation,"CTNNB1, DLX3, PITX2, USH2A",-2.082591502,-2.439195265,-2.022029656,0.258115506,0.121290357,0.215628511,0.311904032,0.183879114,0.37719419
GO:0035325:Toll-like receptor binding,"CD36, TLR2, TOLLIP, UNC93B1",-1.360596914,-0.817973149,-0.843174022,0.000240192,0.34616528,0.49818745,0.000839978,0.445584755,0.708512272
GO:0035329:hippo signaling,"AMOT, DCHS1, FAT4, TEAD1, TEAD2, TEAD3, TEAD4",-1.018284144,-1.067788412,-1.100792318,0.022160785,0.008578473,0.227880456,0.048315507,0.018519804,0.369297334
GO:0035330:regulation of hippo signaling,"NF2, WWC1",-0.508134712,-0.8730074,-0.367290723,0.000854451,0.035971894,0.653322813,0.002776403,0.070610652,0.928361678
GO:0035331:negative regulation of hippo signaling,"SRC, WWC1",-0.418936986,-0.724702941,-0.108164944,0.001434529,0.000395946,0.304772629,0.004429489,0.001097515,0.661902139
GO:0035332:positive regulation of hippo signaling,SOX11,7.802385348,6.857421347,6.518262008,1.80E-51,2.14E-73,2.01E-21,8.42E-49,3.63E-71,8.75E-19
GO:0035335:peptidyl-tyrosine dephosphorylation,"PTPN1, PTPN12, PTPN13, PTPN2, PTPRF, PTPRJ, PTPRO, PTPRS, PTPRT, PTPRZ1",-0.779309106,-0.372883392,-0.101067204,0.261762104,0.071894814,0.268776285,0.367092424,0.105897747,0.374491312
GO:0035336:long-chain fatty-acyl-CoA metabolic process,"ACSL3, ACSL4, DGAT1, DGAT2, FAR1, FAR2",-0.379829432,-0.396039901,-0.303167475,0.248316136,0.059818852,0.290426078,0.380540141,0.103078581,0.508612886
